name,link,price,index,oldPrice_idx,oldPrice_list
AirPods 3 sạc Lightning,https://www.topzone.vn/tai-nghe/airpods-3,4.290.000₫,1,1.0,5.390.000₫
AirPods Pro (2nd Gen),https://www.topzone.vn/tai-nghe/airpods-pro-2,5.990.000₫,2,2.0,6.990.000₫
AirPods Pro Hộp sạc MagSafe,https://www.topzone.vn/tai-nghe/bluetooth-airpods-pro-magsafe-charge-apple-mlwk3,4.990.000₫,3,3.0,6.790.000₫
AirPods 3,https://www.topzone.vn/tai-nghe/airpods-3-hop-sac-khong-day,4.690.000₫,4,4.0,5.490.000₫
AirPods Max,https://www.topzone.vn/tai-nghe/bluetooth-airpods-max-apple,12.490.000₫,5,5.0,13.990.000₫
AirPods 2 Hộp sạc thường,https://www.topzone.vn/tai-nghe/tai-nghe-bluetooth-airpods-2-apple-mv7n2-trang,2.650.000₫,6,6.0,4.390.000₫
EarPods jack cắm Lightning,https://www.topzone.vn/tai-nghe/tai-nghe-earpods-cong-lightning-apple-mmtn2,690.000₫,7,7.0,790.000₫
EarPods jack cắm 3.5 mm,https://www.topzone.vn/tai-nghe/tai-nghe-earpods-apple-mnhf2,690.000₫,8,8.0,790.000₫
Micro có dây Shure MV88+ Video Kit,https://www.topzone.vn/micro-thu-am-podcast-livestream/micro-co-day-shure-mv88-video-kit,8.450.000₫,9,,
Loa Bluetooth Klipsch Promedia Heritage 2.1 Walnut,https://www.topzone.vn/loa/loa-bluetooth-klipsch-promedia-heritage-2-1-walnut,7.700.000₫,10,,
Cặp Loa Bluetooth Klipsch The Fives McLaren Edition,https://www.topzone.vn/loa/cap-loa-bluetooth-klipsch-the-fives-mclaren-edition,32.900.000₫,11,,
Loa Bluetooth Klipsch The Three II,https://www.topzone.vn/loa/loa-bluetooth-klipsch-the-three-ii,8.320.000₫,12,12.0,10.400.000₫
Loa Bluetooth Klipsch The One II,https://www.topzone.vn/loa/loa-bluetooth-klipsch-the-one-ii,5.120.000₫,13,13.0,6.400.000₫
Loa Bluetooth JBL Charge 5,https://www.topzone.vn/loa/loa-bluetooth-jbl-charge-5,3.790.000₫,14,14.0,3.990.000₫
Loa Bluetooth JBL Pulse 5,https://www.topzone.vn/loa/loa-bluetooth-jbl-pulse-5,6.350.000₫,15,15.0,6.690.000₫
Loa Bluetooth JBL Boombox 3,https://www.topzone.vn/loa/loa-bluetooth-jbl-boombox-3,11.390.000₫,16,16.0,11.990.000₫
Loa Bluetooth Sony SRS-XB13,https://www.topzone.vn/loa/sony-srs-xb13,1.190.000₫,17,17.0,1.290.000₫
Loa Bluetooth Harman Kardon Aura Studio 3,https://www.topzone.vn/loa/bluetooth-harman-kardon-aura-studio-3-den,6.190.000₫,18,18.0,6.490.000₫
Loa Bluetooth Harman Kardon Go + Play mini,https://www.topzone.vn/loa/bluetooth-harman-kardon-go-play-mini,5.690.000₫,19,19.0,5.990.000₫
Loa Bluetooth JBL Go 3,https://www.topzone.vn/loa/bluetooth-jbl-go-3-xanh-den,990.000₫,20,20.0,1.090.000₫
Loa Bluetooth Harman Kardon Onyx Studio 7,https://www.topzone.vn/loa/bluetooth-harman-kardon-onyx-studio-7,5.690.000₫,21,21.0,5.990.000₫
Loa Bluetooth Harman Kardon Onyx Studio 8,https://www.topzone.vn/loa/loa-bluetooth-harman-kardon-onyx-studio-8,6.640.000₫,22,22.0,6.990.000₫
Loa Bluetooth JBL Flip 6,https://www.topzone.vn/loa/loa-bluetooth-jbl-flip-6,2.840.000₫,23,23.0,2.990.000₫
Tai nghe Bluetooth True Wireless Sony WF-C500,https://www.topzone.vn/tai-nghe/tai-nghe-bluetooth-true-wireless-sony-wf-c500-den,1.850.000₫,24,24.0,2.290.000₫
Tai nghe Bluetooth True Wireless Beats Fit Pro Earbuds,https://www.topzone.vn/tai-nghe/true-wireless-beats-fit-pro-earbuds,4.390.000₫,25,25.0,5.490.000₫
Tai nghe True Wireless Beats Powerbeats Pro,https://www.topzone.vn/tai-nghe/khong-day-powerbeats-pro,4.790.000₫,26,26.0,5.990.000₫
