name,price,index,oldPrice_idx,oldPrice_list
MacBook Pro 16 inch M2 Pro 2023 12CPU - 19GPU,60.990.000₫,1,,
MacBook Pro 14 inch 2023 M2 Pro 12CPU - 19GPU,60.990.000₫,2,,
MacBook Air 13 inch M2 2022 8CPU - 10GPU,37.990.000₫,3,,
MacBook Air 13 inch M2 2022 8CPU - 8GPU,27.390.000₫,4,,
MacBook Pro 13 inch M2 2022 8CPU - 10GPU,29.890.000₫,5,,
MacBook Pro 13 inch M2 2022 8CPU - 10GPU,34.490.000₫,6,,
MacBook Pro 13 inch M2 2022 8CPU - 10GPU,38.390.000₫,7,,
MacBook Pro 16 inch M1 Pro 2021 10CPU - 16GPU,41.990.000₫,8,,
MacBook Pro 14 inch M1 Pro 2021 10CPU - 16GPU,39.990.000₫,9,,
MacBook Pro 16 inch M1 Pro 2021 10CPU - 16GPU,39.990.000₫,10,,
iMac 24 inch M1 2021 8CPU - 8GPU,34.990.000₫,11,,
Mac mini M1 2020 8CPU - 8GPU,13.990.000₫,12,,
MacBook Pro 13 inch M1 2020 8CPU - 8GPU,34.990.000₫,13,,
MacBook Air 13 inch M1 2020 8CPU - 7GPU,18.390.000₫,14,,
